user_id,group,converted,revenue,metric,genre,device,age_group,region,plan,creative,timestamp
U0006252,variant,0,0.0,0.0,Action,Mobile,18-24,North America,Standard,Mid-Roll 30s,2026-03-14 04:16:41.625065
U0004684,control,1,18.18,1.0,Sci-Fi,Tablet,25-34,EMEA,Premium,Hero Banner,2026-03-19 06:02:12.625065
U0001731,control,0,0.0,0.0,Action,Smart TV,55+,EMEA,Standard,Mid-Roll 30s,2026-03-06 01:50:19.625065
U0004742,control,0,0.0,0.0,Action,Smart TV,55+,EMEA,Basic,Pre-Roll 15s,2026-03-09 15:54:44.625065
U0004521,control,0,0.0,0.0,Animation,Smart TV,18-24,North America,Standard,Hero Banner,2026-03-12 18:12:21.625065
U0006340,variant,1,87.62,1.0,Comedy,Mobile,55+,EMEA,Standard,Mid-Roll 30s,2026-03-16 23:15:03.625065
U0000576,control,1,14.24,1.0,Sci-Fi,Mobile,25-34,EMEA,Premium,Pre-Roll 15s,2026-03-09 02:04:55.625065
U0005202,variant,0,0.0,0.0,Action,Smart TV,25-34,EMEA,Basic,Pre-Roll 15s,2026-03-15 01:35:15.625065
U0006363,variant,0,0.0,0.0,Comedy,Mobile,45-54,LATAM,Standard,Pre-Roll 15s,2026-03-07 23:29:09.625065
U0000439,control,0,0.0,0.0,Documentary,Mobile,18-24,North America,Standard,Teaser Clip,2026-03-15 07:00:52.625065
U0002750,control,0,0.0,0.0,Documentary,Smart TV,35-44,EMEA,Standard,Pre-Roll 15s,2026-03-06 01:24:36.625065
U0007487,variant,0,0.0,0.0,Animation,Smart TV,45-54,APAC,Basic,Interactive Overlay,2026-03-14 05:35:21.625065
U0005272,variant,0,0.0,0.0,Comedy,Game Console,18-24,North America,Basic,Carousel,2026-03-15 09:05:16.625065
U0005653,variant,0,0.0,0.0,Drama,Desktop,45-54,LATAM,Standard,Mid-Roll 30s,2026-03-16 00:37:42.625065
U0003999,control,0,0.0,0.0,Drama,Desktop,35-44,APAC,Standard,Pre-Roll 15s,2026-03-12 09:53:27.625065
U0006033,variant,0,0.0,0.0,Sci-Fi,Smart TV,45-54,EMEA,Basic,Interactive Overlay,2026-03-15 01:47:38.625065
U0000582,control,0,0.0,0.0,Documentary,Desktop,25-34,EMEA,Basic,Mid-Roll 30s,2026-03-07 06:34:01.625065
U0009930,variant,0,0.0,0.0,Documentary,Smart TV,25-34,North America,Standard,Pre-Roll 15s,2026-03-07 06:24:26.625065
U0007051,variant,0,0.0,0.0,Sci-Fi,Tablet,18-24,EMEA,Basic,Pre-Roll 15s,2026-03-11 14:27:51.625065
U0008158,variant,0,0.0,0.0,Documentary,Mobile,18-24,LATAM,Standard,Carousel,2026-03-16 18:47:23.625065
U0009896,variant,0,0.0,0.0,Comedy,Tablet,25-34,APAC,Standard,Pre-Roll 15s,2026-03-06 00:37:51.625065
